iso_alpha3,country_name,postal_code_regex,address_format_mask,street_keywords,neighborhood_keywords,unit_keywords
AFG,Afghanistan,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
ALA,Åland Islands,^(?:\d{5}|AX\-\d{5})$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
ALB,Albania,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
DZA,Algeria,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
ASM,American Samoa,^(?:\d{5}|\d{5}\-\d{4})$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
AND,Andorra,^AD\d{3}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
AGO,Angola,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
AIA,Anguilla,^[A-Z]I\-2640$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
ATA,Antarctica,^BIQQ\ 1ZZ$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
ATG,Antigua and Barbuda,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
ARG,Argentina,^(?:\d{4}|[A-Z]\d{4}|[A-Z]\d{4}[A-Z][A-Z][A-Z])$,%S %N %I\n%Z %C,calle|rúa|acera|facera,,apartamento|departamento|piso|vivienda|depa
ARM,Armenia,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
ABW,Aruba,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
AUS,Australia,^\d{4}$,%N %S\n%C %P %Z,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
AUT,Austria,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
AZE,Azerbaijan,^AZ\ \d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
BHS,Bahamas,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
BHR,Bahrain,^(?:\d{3}|\d{4})$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
BGD,Bangladesh,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
